BSU	GeneID	Abundance
BSU03510	srfAC	52801
BSU03520	srfAD	4937
BSU03530	ycxA	1059
BSU03540	ycxB	155
BSU03550	ycxC	80
BSU03560	ycxD	148
BSU03569	sfp	154
BSU03570	sfp	349
BSU03580	yczE	400
BSU03590	tcyC	735
BSU03600	tcyB	323
BSU03610	tcyA	655
BSU03620	yclA	386
BSU03630	yclB	21
BSU03640	ubiD	143
BSU03651	bsdD	14
BSU03652	yclD	65
BSU03660	yclE	508
BSU03670	dtpT	17029
BSU03680	yclG	225
BSU03690	yczF	4
BSU03700	gerKA	28
BSU03710	gerKC	68
BSU03720	gerKB	155
BSU03730	yclH	51
BSU03740	yclI	59
BSU03750	yclJ	213
BSU03760	yclK	864
BSU03770	rapC	2384
BSU03780	phrC	92
BSU03789	yczN	21
BSU03790	yclM	2211
BSU03800	yclN	9500
BSU03810	yclO	3230
BSU03820	yclP	3885
BSU03830	yclQ	6658
BSU03840	ycnB	1988
BSU03850	ycnC	973
BSU03860	ycnD	628
BSU03870	ycnE	84
BSU03880	yczG	4812
BSU03890	gabR	449
BSU03900	gabT	198
BSU03910	gabD	14165
BSU03920	glcU	3
BSU03930	gdh	7
BSU03940	ycnI	3000
BSU03950	ycnJ	5615
BSU03960	ycnK	2024
BSU03970	ycnL	323
BSU03981	mtlA	1238
BSU03982	mtlF	589
BSU03990	mtlD	6184
BSU04000	ycsA	649
BSU04010	sipU	56
BSU04020	yczH	712
BSU04030	ycsD	1895
BSU04039	yczO	1306
BSU04040	ycsE	1079
BSU04050	ycsF	1134
BSU04060	ycsG	1067
BSU04070	ycsI	1685
BSU04080	kipI	993
BSU04090	kipA	1065
BSU04100	kipR	429
BSU04110	lipC	112
BSU04120	yczI	182
BSU04130	yczJ	660
BSU04140	pbpC	5209
BSU04150	ycsN	5745
BSU04160	mtlR	8962
BSU04170	ydaB	530
BSU04180	ydaC	1583
BSU04190	ydaD	3411
BSU04200	ydaE	2712
BSU04210	ydaF	313
BSU04220	ydaG	25792
BSU04230	ydaH	5295
BSU04240	ydzA	523
BSU04250	lrpC	195
BSU04260	topB	5480
BSU04270	ydaJ	383
BSU04280	ydaK	58
BSU04290	ydaL	183
BSU04300	ydaM	111
BSU04310	ydaN	316
BSU04320	ydaO	6263
