BSU	GeneID	Abundance
BSU05770	ydhI	14
BSU05780	ydhJ	182
BSU05790	ydhK	308
BSU05800	pbuE	23
BSU05810	gmuB	3
BSU05820	gmuA	5
BSU05830	gmuC	45
BSU05840	gmuD	47
BSU05850	gmuR	86
BSU05860	gmuE	159
BSU05870	gmuF	133
BSU05880	gmuG	374
BSU05890	ydhU	10
BSU05899	ydhU	0
BSU05900	thiL	44
BSU05910	ydiB	12
BSU05920	ydiC	24
BSU05930	rimI	18
BSU05940	gcp	0
BSU05950	ydiF	1095
BSU05960	moaC	153
BSU05970	ydiH	351
BSU05980	tatAY	1373
BSU05990	tatCY	4944
BSU06000	ydiK	39
BSU06010	ydiL	137
BSU06020	groES	92
BSU06030	groEL	4959
BSU06033	ydzT	3
BSU06034	ydzT	5
BSU06036	ydzT	1
BSU06037	ydzT	2
BSU06038	ydzT	1
BSU06040	ydiM	20
BSU06048	ydzU	1
BSU06049	ydzV	24
BSU06060	ydiO	291
BSU06070	ydiP	707
BSU06073	ydzW	157
BSU06074	ydzW	69
BSU06076	ydzW	242
BSU06077	ydzW	203
BSU06078	ydzW	73
BSU06079	ydzW	6
BSU06083	ydzW	25
BSU06090	ydiR	45
BSU06100	ydiS	59
BSU06110	ydjA	163
BSU06120	ydjB	0
BSU06130	ydjC	0
BSU06140	gutR	265
BSU06150	gutB	49
BSU06160	gutP	10
BSU06170	ydjE	1280
BSU06180	pspA	7
BSU06190	ydjG	13
BSU06200	ydjH	5
BSU06210	ydjI	93
BSU06220	ydjJ	256
BSU06230	iolT	41
BSU06240	bdhA	10865
BSU06250	ydjM	5
BSU06260	ydjN	26
BSU06269	ydzJ	4
BSU06270	ydjO	336
BSU06280	ydjP	83
BSU06290	yeaA	48
BSU06300	cotA	109
BSU06310	gabP	1232
BSU06319	ydzX	0
BSU06320	yeaB	136
BSU06330	yeaC	541
BSU06340	yeaD	571
BSU06350	yebA	1150
BSU06360	guaA	2164
BSU06370	pbuG	414
BSU06380	yebC	244
BSU06390	yebD	8
BSU06400	yebE	263
BSU06410	yebG	53
BSU06420	purE	230
BSU06430	purK	758
BSU06440	purB	1992
BSU06450	purC	647
BSU06460	purS	272
BSU06470	purQ	950
BSU06480	purL	7464
BSU06490	purF	9932
BSU06500	purM	2575
BSU06510	purN	1450
BSU06520	purH	5380
BSU06530	purD	7044
BSU06540	yezC	39
BSU06550	yecA	15
BSU06559	yezF	4
BSU06560	yerA	1151
BSU06570	yerB	1639
BSU06580	yerC	406
BSU06590	yerD	1493
BSU06600	pcrB	147
BSU06610	pcrA	1404
BSU06620	ligA	2395
BSU06630	yerH	2003
BSU06640	yerI	2368
BSU06650	sapB	72
BSU06660	opuE	3311
BSU06670	gatC	7
BSU06680	gatA	574
BSU06690	gatB	2912
BSU06700	yerO	182
BSU06710	swrC	4324
BSU06720	yerQ	3948
BSU06730	yefA	535
BSU06740	yefB	6
BSU06750	yefC	10
BSU06760	yeeA	73
BSU06770	yeeB	143
BSU06780	yeeC	218
BSU06790	yeeD	3
BSU06800	yezA	1
BSU06811	yezG	77
BSU06812	yeeF	243
BSU06820	yeeG	10
BSU06830	rapH	3647
BSU06839	phrH	532
BSU06840	yeeI	1740
BSU06850	yeeK	105
BSU06860	yezE	141
BSU06870	yesE	6
BSU06880	yesF	113
BSU06890	cotJA	0
BSU06900	cotJB	0
BSU06910	cotJC	0
BSU06920	yesJ	450
BSU06930	yesK	2
BSU06940	yesL	2
BSU06950	yesM	4
BSU06960	yesN	1
BSU06970	yesO	0
BSU06980	yesP	1
BSU06990	yesQ	0
BSU07000	yesR	4
BSU07010	yesS	24
BSU07020	rhgT	8
BSU07030	yesU	16
BSU07040	yesV	22
BSU07050	yesW	11
BSU07060	yesX	17
BSU07070	yesY	7
BSU07080	yesZ	80
BSU07090	yetA	11
BSU07100	lplA	4
BSU07110	lplB	1
BSU07120	lplC	9
BSU07130	lplD	22
BSU07140	yetF	24
BSU07150	yetG	189
BSU07160	yetH	14
BSU07170	yetI	67
BSU07180	yetI	60
BSU07190	yezD	0
BSU07200	yetJ	93
BSU07210	yetK	203
BSU07220	yetL	180
BSU07230	yetM	11
BSU07240	yetN	52
BSU07250	yetO	147
BSU07260	ltaSA	1324
BSU07270	yfnH	0
BSU07280	yfnG	7
BSU07290	yfnF	10
BSU07300	yfnE	23
BSU07310	yfnD	75
BSU07320	yfnC	1815
BSU07330	yfnB	197
BSU07340	yfnA	599
BSU07350	yfmT	564
BSU07360	yfmS	492
BSU07370	yfmR	4428
BSU07380	yfmQ	229
BSU07390	yfmP	42
BSU07400	yfmO	140
BSU07410	yfmN	0
BSU07420	yfmM	699
BSU07430	yfmL	191
BSU07440	yfmK	415
BSU07450	yfmJ	862
BSU07460	yfmI	23
BSU07480	yfmG	6
BSU07490	yfmF	1071
BSU07500	yfmE	366
BSU07510	yfmD	158
BSU07520	yfmC	1089
BSU07530	yfmB	194
BSU07540	yfmA	11
BSU07550	yflT	1752
BSU07560	pel	1588
BSU07570	yflS	548
BSU07580	citS	563
BSU07590	citT	291
BSU07600	yflP	395
BSU07610	citM	480
BSU07620	yflN	356
BSU07630	nosA	116
BSU07640	yflL	70
BSU07650	yflK	663
BSU07660	yflJ	51
BSU07670	yflI	27
BSU07680	yflH	305
BSU07690	yflG	1253
BSU07700	nagP	1588
BSU07710	yflE	541
BSU07720	yflD	15
BSU07735	yflB	114
BSU07750	yflA	3067
BSU07760	yfkT	3
BSU07770	yfkS	0
BSU07780	yfkR	2
BSU07790	yfkQ	3
BSU07800	treP	120
BSU07810	treA	63
BSU07820	treR	245
BSU07830	yfkO	241
BSU07840	yfkN	5588
BSU07850	yfkM	3904
BSU07860	yfkL	193
BSU07870	yfkK	112
BSU07880	yfkJ	783
BSU07890	yfkI	424
BSU07900	yfkH	1278
BSU07910	yfkF	374
BSU07920	yfkE	639
BSU07930	yfkD	491
BSU07940	yfkC	1391
BSU07955	yfkA	581
BSU07970	yfjT	78
BSU07980	pdaA	47
BSU07990	yfjR	216
BSU08000	yfjQ	94
BSU08010	yfjP	253
BSU08020	yfjO	1634
BSU08029	yfzA	5
BSU08030	dusC	101
BSU08040	yfjM	18
BSU08050	yfjL	5
BSU08060	acoA	0
BSU08070	acoB	3
BSU08080	acoC	15
BSU08090	acoL	41
BSU08100	acoR	176
BSU08110	sspH	15
BSU08120	yfjF	689
BSU08130	yfjE	626
BSU08140	yfjD	254
BSU08150	yfjC	154
BSU08160	yfjB	53
BSU08170	yfjA	12
BSU08180	malA	317
BSU08190	malR	25
BSU08200	malP	103
BSU08210	malQ	149
BSU08220	yfiC	791
BSU08230	catD	9
BSU08240	catE	44
BSU08250	yfiF	3
BSU08260	yfiG	30
BSU08270	yfiH	20
BSU08280	yfiI	43
BSU08290	yfiJ	145
BSU08300	yfiK	126
BSU08310	yfiL	1
BSU08320	yfiM	4
BSU08330	yfiN	16
BSU08340	padR	403
BSU08350	estB	3
BSU08360	yfiQ	99
BSU08370	yfiR	210
BSU08380	yfiS	35
BSU08390	yfiT	333
BSU08400	yfiU	10
BSU08410	yfiV	72
BSU08425	mprF	2394
BSU08440	yfiY	462
BSU08450	yfiZ	255
BSU08460	yfhA	683
BSU08470	yfhB	1512
BSU08480	yfhC	2172
BSU08490	yfhD	32
BSU08500	yfhE	3
BSU08510	yfhF	590
BSU08520	recX	465
BSU08530	yfhH	281
BSU08540	yfhI	313
BSU08550	sspK	1
BSU08560	yfhJ	87
BSU08570	yfhK	2703
BSU08580	yfhL	607
BSU08590	yfhM	1670
BSU08600	csbB	1147
BSU08610	yfhO	246
BSU08620	yfhP	580
BSU08630	yfhQ	152
BSU08640	yfhS	0
BSU08650	fabL	345
BSU08660	sspE	326
BSU08670	ygaB	2
BSU08680	ygaC	794
BSU08690	ygaD	586
BSU08700	ygaE	217
BSU08710	gsaB	563
BSU08720	ygaF	236
BSU08730	perR	6535
BSU08740	ygzB	333
BSU08750	ygxA	143
BSU08760	spo0M	253
BSU08770	ygzA	8
BSU08779	ygzC	3
BSU08780	ygaJ	495
BSU08790	thiC	7385
BSU08800	ygaK	412
BSU08810	senS	0
BSU08820	katA	151602
BSU08830	ssuB	2
BSU08840	ssuA	3
BSU08850	ssuC	5
BSU08860	ssuD	36
BSU08870	ygaN	248
BSU08880	rpsN	5958
BSU08890	ygaO	127
BSU08899	ygzD	21
BSU08900	yhzB	79
BSU08910	yhbA	116
BSU08920	yhbB	31
