BSU	GeneID	Abundance
BSU03750	yclJ	313
BSU03760	yclK	1310
BSU03770	rapC	6570
BSU03780	phrC	289
BSU03789	yczN	36
BSU03790	yclM	1510
BSU03800	yclN	1220
BSU03810	yclO	1250
BSU03820	yclP	1874
BSU03830	yclQ	4100
BSU03840	ycnB	1862
BSU03850	ycnC	229
BSU03860	ycnD	1219
BSU03870	ycnE	411
BSU03880	yczG	304
BSU03890	gabR	143
BSU03900	gabT	67
BSU03910	gabD	2843
BSU03920	glcU	1
BSU03930	gdh	11
BSU03940	ycnI	1312
BSU03950	ycnJ	2861
BSU03960	ycnK	542
BSU03970	ycnL	60
BSU03981	mtlA	50
BSU03982	mtlF	10
BSU03990	mtlD	44
BSU04000	ycsA	392
BSU04010	sipU	57
BSU04020	yczH	229
BSU04030	ycsD	147
BSU04039	yczO	169
BSU04040	ycsE	2205
BSU04050	ycsF	2254
BSU04060	ycsG	1499
BSU04070	ycsI	1743
BSU04080	kipI	1289
BSU04090	kipA	2170
BSU04100	kipR	2232
BSU04110	lipC	777
BSU04120	yczI	97
BSU04130	yczJ	280
BSU04140	pbpC	5648
BSU04150	ycsN	3385
BSU04160	mtlR	443
BSU04170	ydaB	271
BSU04180	ydaC	115
BSU04190	ydaD	671
BSU04200	ydaE	634
BSU04210	ydaF	151
BSU04220	ydaG	3982
BSU04230	ydaH	544
BSU04240	ydzA	60
BSU04250	lrpC	86
BSU04260	topB	6009
BSU04270	ydaJ	55
BSU04280	ydaK	24
BSU04290	ydaL	97
BSU04300	ydaM	77
BSU04310	ydaN	327
BSU04320	ydaO	222
BSU04330	mutT	8
BSU04340	ydaP	3242
BSU04359	ydzK	280
BSU04360	mntH	38613
BSU04370	ydaS	2332
BSU04380	ydaT	214
BSU04390	ydbA	200
BSU04400	gsiB	2534
BSU04410	ydbB	88
BSU04420	ydbC	187
BSU04430	ydbD	1038
BSU04440	dctB	255
BSU04450	dctS	250
BSU04460	dctR	181
BSU04470	dctP	319
BSU04480	ydbI	1125
BSU04490	ydbJ	679
BSU04500	ydbK	664
BSU04510	ydbL	427
BSU04520	ydbM	1563
BSU04530	ydbN	149
BSU04540	ydbO	1500
BSU04550	ydbP	988
BSU04560	ddl	6415
BSU04570	murF	2413
BSU04580	cshA	12440
BSU04590	ydbS	3304
BSU04600	ydbT	8531
BSU04610	ydcA	106
BSU04620	acpS	485
BSU04630	ydcC	807
BSU04640	alrA	1653
BSU04650	endB	706
BSU04660	ndoA	1178
BSU04670	rsbRA	1718
BSU04680	rsbS	835
BSU04690	rsbT	1324
BSU04700	rsbU	3081
BSU04710	rsbV	6227
BSU04720	rsbW	7888
BSU04730	sigB	28024
BSU04740	rsbX	15671
BSU04750	ydcF	22
BSU04760	ydcG	46
BSU04770	ydcH	40
BSU04780	ydcI	3812
BSU04790	ydcK	100
BSU04800	ydcL	491
BSU04810	immA	92
BSU04820	immR	51
BSU04830	sacV	1
BSU04839	ydzL	4
BSU04840	ydcO	4
BSU04850	ydcP	0
BSU04860	ydcQ	7
BSU04870	ydcR	1
BSU04880	ydcS	1
BSU04890	ydcT	0
